create table Client_PII_Inventory (
	id INT,
	full_name VARCHAR(50),
	email VARCHAR(50),
	national_id VARCHAR(50),
	phone_number VARCHAR(50)
);
insert into Client_PII_Inventory (id, full_name, email, national_id, phone_number) values (1, 'Amberly Fitzer', 'afitzer0@mit.edu', '1346800657', '0582194496');
insert into Client_PII_Inventory (id, full_name, email, national_id, phone_number) values (2, 'Celestina Petriello', null, '1513263068', '0515402628');
insert into Client_PII_Inventory (id, full_name, email, national_id, phone_number) values (3, 'Anna-diane Maven', 'amaven2@trellian.com', null, '0556312091');
insert into Client_PII_Inventory (id, full_name, email, national_id, phone_number) values (4, 'Montgomery Clover', null, '1889353950', '0574945344');
insert into Client_PII_Inventory (id, full_name, email, national_id, phone_number) values (5, 'Ally Dilawey', 'adilawey4@cocolog-nifty.com', null, '0511585282');
insert into Client_PII_Inventory (id, full_name, email, national_id, phone_number) values (6, 'Geri Chalk', 'gchalk5@columbia.edu', '1724805619', '0520661300');
insert into Client_PII_Inventory (id, full_name, email, national_id, phone_number) values (7, 'Elsy Pressland', 'epressland6@nbcnews.com', '1122022215', '0505209392');
insert into Client_PII_Inventory (id, full_name, email, national_id, phone_number) values (8, 'Violetta Borge', 'vborge7@berkeley.edu', '1696673355', '0533026618');
insert into Client_PII_Inventory (id, full_name, email, national_id, phone_number) values (9, 'Portie Krzyzowski', 'pkrzyzowski8@theatlantic.com', '1912728303', '0550553739');
insert into Client_PII_Inventory (id, full_name, email, national_id, phone_number) values (10, 'Edouard Armsden', 'earmsden9@seesaa.net', '1372972956', '0502812097');
insert into Client_PII_Inventory (id, full_name, email, national_id, phone_number) values (11, 'Artus Ringrose', 'aringrosea@hud.gov', '1813934854', '0585681357');
insert into Client_PII_Inventory (id, full_name, email, national_id, phone_number) values (12, 'Jimmy Lynam', 'jlynamb@spiegel.de', '1766766882', '0512914699');
insert into Client_PII_Inventory (id, full_name, email, national_id, phone_number) values (13, 'Jorry Gallamore', 'jgallamorec@tuttocitta.it', '1082156968', '0580065738');
